PassengerId,Age,Fare,Pclass_S,Pclass_T,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Others,Cabin_isin_Y,Family_size_M,Family_size_S
892,0.49983436651007573,-0.92066600887907,0,1,1,1,0,0,1,0,0,0,0,1
893,1.5912645735865478,-0.9818142742560969,0,1,0,0,1,0,0,1,0,0,1,0
894,0.6212014055369794,-0.7836281150656003,1,0,1,1,0,0,1,0,0,0,0,1
895,-0.1550237577358076,-0.8592153943847665,0,1,1,0,1,0,1,0,0,0,0,1
896,-0.5915958405663965,-0.5918945284999106,0,1,0,0,1,0,0,1,0,0,1,0
897,-1.2901111730953387,-0.8177345703681509,0,1,1,0,1,0,1,0,0,0,0,1
898,0.10691949196254573,-0.9354147463071999,0,1,0,1,0,1,0,0,0,0,0,1
899,-0.24233817430192536,0.6405468428382004,1,0,1,0,1,0,1,0,0,0,1,0
900,-0.9408535068308675,-0.96491222116346,0,1,0,0,0,0,0,1,0,0,0,1
901,-0.6789102571325143,0.2828899602060484,0,1,1,0,1,0,1,0,0,0,1,0
902,-0.6081855797139589,-0.9157546793155026,0,1,1,0,1,0,1,0,0,0,0,1
903,1.5039501570204301,0.4193157814162508,0,0,1,0,1,0,1,0,0,0,0,1
904,-0.5042814240002786,0.8768369528063462,0,0,0,0,1,0,0,1,0,1,1,0
905,0.6212014055369794,0.4193157814162508,1,0,1,0,1,0,1,0,0,0,1,0
906,1.5912645735865478,3.01324997658861,0,0,0,0,1,0,0,1,0,1,1,0
907,-0.41696700743416093,0.5462139182478811,1,0,0,0,0,0,0,1,0,0,1,0
908,0.5434915747931346,-0.58728554805362,1,0,1,1,0,0,1,0,0,0,0,1
909,-0.6789102571325143,-0.9652219446494507,0,1,1,0,0,0,1,0,0,0,0,1
910,-0.1550237577358076,-0.9136013636509956,0,1,0,0,1,1,0,0,0,0,1,0
911,1.4166357404543124,-0.9652219446494507,0,1,0,0,0,0,0,1,0,0,0,1
912,2.28977990611549,2.8823549319139565,0,0,1,0,0,0,1,0,0,0,1,0
913,-1.7266832559259275,-1.2641936010550734,0,1,1,0,1,0,0,0,0,0,1,0
914,-0.6081855797139589,0.8384232785427062,0,0,0,0,1,0,0,1,0,0,0,1
915,-0.6789102571325143,3.0283084375027305,0,0,1,0,0,0,1,0,0,0,1,0
916,1.6785789901526658,0.8768369528063462,0,0,0,0,0,0,0,1,0,1,0,0
917,1.8532078232849012,-0.42873662070122276,0,1,1,0,1,0,1,0,0,0,1,0
918,-0.5915958405663965,3.072554649787121,0,0,0,0,0,1,0,0,0,1,1,0
919,-0.5479386322833376,-0.9652219446494507,0,1,1,0,0,0,1,0,0,0,0,1
920,1.0673780741898413,0.7511623735491753,0,0,1,0,1,0,1,0,0,1,0,1
921,0.3129815150585836,0.10068405801893092,0,1,1,0,0,0,1,0,0,0,1,0
922,1.8532078232849012,0.4193157814162508,1,0,1,0,1,0,1,0,0,0,1,0
923,-0.41696700743416093,0.8249060606898251,1,0,1,0,1,0,1,0,0,0,1,0
924,0.36886274166089905,0.01925627867822516,0,1,0,0,1,0,0,1,0,0,1,0
925,0.3129815150585836,0.23126937920759355,0,1,0,0,1,0,0,1,0,0,1,0
926,0.10691949196254573,2.7606778481318845,0,0,1,0,0,0,1,0,0,1,1,0
927,-0.8971962985478087,-0.96491222116346,0,1,1,0,0,0,1,0,0,0,0,1
928,0.3129815150585836,-0.9043834027584144,0,1,0,0,1,1,0,0,0,0,0,1
929,-0.6789102571325143,-0.8592153943847665,0,1,0,0,1,1,0,0,0,0,0,1
930,-0.32965259086804316,-0.7974550564044721,0,1,1,0,1,0,1,0,0,0,0,1
931,-0.6081855797139589,2.6681885157200815,0,1,1,0,1,0,1,0,0,0,0,1
932,0.8927492410576057,-0.5086231569806887,0,1,1,0,0,0,1,0,0,0,1,0
933,0.6212014055369794,0.45987480934360825,0,0,1,0,1,0,1,0,0,1,0,1
934,1.0673780741898413,-0.9191321401865444,0,1,1,0,1,0,1,0,0,0,0,1
935,0.10691949196254573,-0.5393521514121976,1,0,0,0,1,0,0,1,0,0,0,1
936,1.4166357404543124,2.377520398486496,0,0,0,0,1,0,0,1,0,1,1,0
937,-0.32965259086804316,-0.9136013636509956,0,1,1,0,1,0,1,0,0,0,0,1
938,1.4166357404543124,0.6921674238366553,0,0,1,0,0,0,1,0,0,1,0,1
939,-0.6081855797139589,-0.9265065089006095,0,1,1,1,0,0,1,0,0,0,0,1
940,0.6212014055369794,0.8768369528063462,0,0,0,0,0,0,0,1,0,1,0,1
941,0.6308059913592524,-0.32549545870431296,0,1,0,0,1,0,0,1,0,0,1,0
942,-0.41696700743416093,2.9266011441983464,0,0,1,0,1,0,1,0,0,1,1,0
943,-0.1550237577358076,-0.3894091123491142,1,0,1,0,0,0,1,0,0,0,0,1
944,-0.766224673698632,0.19808471999430116,1,0,0,0,1,1,0,0,0,0,1,0
945,-0.06770934116968982,0.8768369528063462,0,0,0,0,1,1,0,0,0,1,0,0
946,0.3129815150585836,-0.3491524335390334,1,0,1,0,0,0,1,0,0,0,0,1
947,-1.6393688393598098,0.6497648037307816,0,1,1,1,0,0,0,0,0,0,0,0
948,0.5434915747931346,-0.9157546793155026,0,1,1,0,1,0,1,0,0,0,0,1
949,-0.32965259086804316,-0.9338808776146744,0,1,1,0,1,0,1,0,0,1,0,1
950,-0.6081855797139589,-0.31074672127618286,0,1,1,0,1,0,1,0,0,0,1,0
951,0.6308059913592524,0.8768369528063462,0,0,0,0,0,1,0,0,0,1,0,1
952,-1.0281679233969854,-0.9157546793155026,0,1,1,0,1,0,1,0,0,0,0,1
953,0.2815483250947813,-0.5024803078418727,1,0,1,0,1,0,1,0,0,0,0,1
954,-0.9408535068308675,-0.9265065089006095,0,1,1,0,1,0,1,0,0,0,0,1
955,-0.5915958405663965,-0.9283501010791257,0,1,0,1,0,1,0,0,0,0,0,1
956,-1.3774255896614565,0.8768369528063462,0,0,1,0,0,0,0,0,0,1,0,0
957,-2.113486121313829,0.05059734571300141,1,0,0,0,1,0,0,1,0,0,0,1
958,-0.9408535068308675,-0.9169788245220374,0,1,0,1,0,1,0,0,0,0,0,1
959,1.5912645735865478,1.6287122505229086,0,0,1,0,1,0,1,0,0,0,0,1
960,0.1942339085286635,0.60644038753565,0,0,1,0,0,0,1,0,0,1,0,1
961,0.6212014055369794,0.8768369528063462,0,0,0,0,1,0,0,1,0,1,0,0
962,-0.41696700743416093,-0.9265065089006095,0,1,0,1,0,1,0,0,0,0,0,1
963,-0.6789102571325143,-0.9157546793155026,0,1,1,0,1,0,1,0,0,0,0,1
964,0.019605075396427956,-0.9136013636509956,0,1,0,0,1,1,0,0,0,0,0,1
965,-0.024052132886630932,0.5462139182478811,0,0,1,0,0,0,1,0,0,1,0,1
966,0.5434915747931346,0.8768369528063462,0,0,0,0,0,1,0,0,0,1,0,1
967,0.3252055333778402,0.8768369528063462,0,0,1,0,0,0,1,0,0,1,0,1
968,0.3129815150585836,-0.9043834027584144,0,1,1,0,1,0,1,0,0,0,0,1
969,2.28977990611549,0.3971926752740558,0,0,0,0,1,0,0,1,0,1,1,0
970,0.10691949196254573,-0.5393521514121976,1,0,1,0,1,0,1,0,0,0,0,1
971,-0.41696700743416093,-0.9265065089006095,0,1,0,1,0,1,0,0,0,0,0,1
972,-1.988626505624281,-0.3737385788317262,0,1,1,0,0,0,0,0,0,0,1,0
973,0.6212014055369794,0.8768369528063462,0,0,1,0,1,0,1,0,0,1,1,0
974,1.7658934067187835,0.4193157814162508,0,0,1,0,1,0,1,0,0,0,0,1
975,0.3129815150585836,-0.9157546793155026,0,1,1,0,1,0,1,0,0,0,0,1
976,-0.6081855797139589,-0.708350559232425,1,0,1,1,0,0,1,0,0,0,0,1
977,0.6212014055369794,-0.43211408157226455,0,1,1,0,0,0,1,0,0,0,1,0
978,-0.1550237577358076,-0.9169788245220374,0,1,0,1,0,1,0,0,0,0,0,1
979,-0.9408535068308675,-0.9043834027584144,0,1,0,0,1,1,0,0,0,0,0,1
980,-0.6081855797139589,-0.9265065089006095,0,1,0,1,0,1,0,0,0,0,0,1
981,-2.337884171888752,0.19808471999430116,1,0,1,0,1,0,0,0,0,0,1,0
982,-0.5915958405663965,-0.47298283298561267,0,1,0,0,1,0,0,1,0,0,1,0
983,0.3129815150585836,-0.9246629167220932,0,1,1,0,1,0,1,0,0,0,0,1
984,-0.1550237577358076,2.3366516470731478,0,0,0,0,1,0,0,1,0,1,1,0
